Máquina 1, Trabalho 1 - Operação 1, 0, 4
Máquina 1, Trabalho 2 - Operação 5, 4, 5
Máquina 1, Trabalho 5 - Operação 21, 5, 8
Máquina 1, Trabalho 6 - Operação 26, 8, 11
Máquina 1, Trabalho 8 - Operação 34, 11, 14
Máquina 2, Trabalho 1 - Operação 2, 4, 8
Máquina 2, Trabalho 5 - Operação 22, 8, 12
Máquina 3, Trabalho 3 - Operação 12, 0, 6
Máquina 3, Trabalho 4 - Operação 17, 6, 9
Máquina 3, Trabalho 1 - Operação 3, 9, 14
Máquina 3, Trabalho 4 - Operação 19, 14, 18
Máquina 3, Trabalho 7 - Operação 31, 18, 21
Máquina 3, Trabalho 8 - Operação 36, 21, 25
Máquina 4, Trabalho 6 - Operação 27, 11, 18
Máquina 4, Trabalho 2 - Operação 7, 18, 19
Máquina 6, Trabalho 7 - Operação 29, 0, 4
Máquina 6, Trabalho 6 - Operação 28, 4, 12
Máquina 7, Trabalho 3 - Operação 14, 16, 23
Máquina 8, Trabalho 2 - Operação 6, 5, 9
Máquina 8, Trabalho 3 - Operação 13, 9, 16
Máquina 8, Trabalho 4 - Operação 18, 16, 20
Máquina 8, Trabalho 7 - Operação 30, 20, 24
Máquina 8, Trabalho 8 - Operação 35, 24, 28
Máquina 8, Trabalho 5 - Operação 23, 28, 32
